epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,3726.55,1.15939,0.62573,1.04011,0.96933,0.84433,0.89685,0.56999,1.22856,0.65143,1.06316,0.003268,0.003268,0.003268
70,3775.01,1.13975,0.62018,1.03513,0.97359,0.85648,0.90528,0.57239,1.22307,0.6313,1.06009,0.003169,0.003169,0.003169
71,3823.51,1.17663,0.63425,1.04475,0.97357,0.8557,0.90084,0.57228,1.21813,0.63498,1.06018,0.00307,0.00307,0.00307
72,3871.75,1.13306,0.62007,1.035,0.9637,0.86345,0.90202,0.5692,1.23605,0.65168,1.06906,0.002971,0.002971,0.002971
73,3929.75,1.12756,0.61122,1.01716,0.96714,0.85466,0.90382,0.57427,1.21048,0.63962,1.05159,0.002872,0.002872,0.002872
74,3989.24,1.13706,0.61477,1.02733,0.96127,0.8583,0.9058,0.57364,1.22756,0.6374,1.06184,0.002773,0.002773,0.002773
75,4048.39,1.12799,0.60938,1.01713,0.96867,0.85947,0.90506,0.57749,1.21843,0.63833,1.0575,0.002674,0.002674,0.002674
76,4105.19,1.11036,0.593,1.01586,0.96995,0.86224,0.90868,0.58256,1.2011,0.62583,1.05987,0.002575,0.002575,0.002575
77,4154.49,1.1161,0.59533,1.01819,0.97625,0.85929,0.90662,0.58063,1.21779,0.63981,1.0527,0.002476,0.002476,0.002476
78,4203.83,1.11768,0.61164,1.02132,0.97896,0.85366,0.90277,0.57676,1.20793,0.64168,1.05038,0.002377,0.002377,0.002377
79,4261.74,1.12315,0.60878,1.01773,0.97882,0.85872,0.9062,0.57917,1.22132,0.63651,1.04966,0.002278,0.002278,0.002278
80,4321.96,1.12341,0.60796,1.01965,0.97996,0.8676,0.90861,0.58129,1.22887,0.64249,1.05349,0.002179,0.002179,0.002179
81,4381.01,1.12747,0.60599,1.01949,0.95622,0.86876,0.90918,0.58351,1.21441,0.63893,1.0458,0.00208,0.00208,0.00208
82,4440.76,1.11423,0.60812,1.0084,0.97239,0.85888,0.90805,0.5786,1.22185,0.64165,1.05297,0.001981,0.001981,0.001981
83,4492.76,1.11452,0.60797,1.00539,0.9767,0.86527,0.91072,0.58145,1.23049,0.64053,1.05027,0.001882,0.001882,0.001882
84,4543.08,1.08529,0.5901,1.00577,0.98535,0.8595,0.91184,0.58325,1.22776,0.6429,1.05118,0.001783,0.001783,0.001783
85,4592.93,1.11204,0.59533,1.00208,0.96937,0.88226,0.91703,0.58545,1.22662,0.62878,1.0514,0.001684,0.001684,0.001684
86,4642.01,1.08848,0.58172,1.00212,0.97776,0.8676,0.91671,0.5849,1.22342,0.63967,1.0492,0.001585,0.001585,0.001585
87,4691.04,1.10325,0.59921,1.00089,0.98247,0.86295,0.91499,0.58825,1.2215,0.62237,1.04248,0.001486,0.001486,0.001486
88,4740.59,1.0839,0.5852,1.00365,0.98542,0.86876,0.91973,0.59041,1.22097,0.62415,1.04493,0.001387,0.001387,0.001387
89,4792.68,1.09034,0.58433,0.99241,0.9706,0.87224,0.91247,0.58834,1.21933,0.63266,1.0447,0.001288,0.001288,0.001288
90,4850.34,1.07317,0.56765,0.99428,0.97772,0.86636,0.91356,0.59171,1.2212,0.62103,1.04314,0.001189,0.001189,0.001189
91,4908.57,1.06781,0.57392,0.99898,0.97629,0.87573,0.91593,0.58773,1.22761,0.62197,1.05339,0.00109,0.00109,0.00109
92,4967.55,1.08707,0.57667,0.99397,0.98429,0.87303,0.91898,0.59801,1.21136,0.61891,1.04605,0.000991,0.000991,0.000991
93,5026.56,1.06952,0.56154,0.98789,0.97513,0.86527,0.9119,0.58817,1.22339,0.61263,1.04864,0.000892,0.000892,0.000892
94,5083.77,1.05062,0.55371,0.97812,0.97645,0.86665,0.91766,0.59607,1.20733,0.60974,1.0412,0.000793,0.000793,0.000793
95,5136.08,1.04828,0.55557,0.98107,0.97286,0.87436,0.92053,0.59395,1.21472,0.61373,1.0452,0.000694,0.000694,0.000694
96,5192.19,1.0613,0.5657,0.98084,0.96898,0.87081,0.91987,0.58956,1.21704,0.61459,1.04499,0.000595,0.000595,0.000595
97,5249.45,1.06163,0.55867,0.98945,0.9703,0.88037,0.92142,0.59487,1.20736,0.61468,1.03911,0.000496,0.000496,0.000496
98,5307.34,1.05191,0.56195,0.9833,0.96517,0.87805,0.92214,0.59761,1.19974,0.60332,1.03793,0.000397,0.000397,0.000397
99,5365.9,1.03865,0.55276,0.97974,0.97075,0.88037,0.92199,0.59317,1.21064,0.60374,1.04047,0.000298,0.000298,0.000298
100,5424.53,1.04134,0.54231,0.97756,0.9757,0.86876,0.92124,0.59457,1.20612,0.60394,1.03901,0.000199,0.000199,0.000199
