epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,7452.96,0.88405,0.57268,0.99204,0.96539,0.95445,0.97079,0.78474,0.97309,0.52044,0.95129,0.004918,0.004918,0.004918
79,7550.48,0.8862,0.57761,0.99149,0.9774,0.94839,0.97207,0.78376,0.96696,0.51847,0.94808,0.004852,0.004852,0.004852
80,7635.79,0.88124,0.57371,0.99244,0.97769,0.94866,0.97295,0.78738,0.96957,0.51141,0.94778,0.004786,0.004786,0.004786
81,7726.34,0.88101,0.569,0.98195,0.98135,0.94274,0.97152,0.78891,0.9606,0.51635,0.94561,0.00472,0.00472,0.00472
82,7814.25,0.87578,0.56737,0.98235,0.97571,0.9588,0.97455,0.79073,0.96592,0.51386,0.94513,0.004654,0.004654,0.004654
83,7900.86,0.87444,0.56528,0.98159,0.97543,0.9538,0.97565,0.789,0.95301,0.50025,0.94434,0.004588,0.004588,0.004588
84,7988.37,0.87171,0.56474,0.98681,0.97911,0.95212,0.97447,0.78821,0.96028,0.50904,0.94749,0.004522,0.004522,0.004522
85,8080.35,0.85777,0.56622,0.98101,0.98484,0.9489,0.97379,0.7905,0.96013,0.50357,0.94706,0.004456,0.004456,0.004456
86,8165.85,0.85947,0.55596,0.98148,0.98543,0.9542,0.97691,0.7925,0.94457,0.49759,0.93942,0.00439,0.00439,0.00439
87,8260.87,0.85775,0.55412,0.97408,0.98269,0.95019,0.97526,0.79217,0.95501,0.50585,0.94357,0.004324,0.004324,0.004324
88,8353.27,0.8688,0.54771,0.97697,0.97776,0.95192,0.97363,0.79396,0.95341,0.50109,0.94265,0.004258,0.004258,0.004258
89,8439.7,0.85469,0.54639,0.97678,0.97494,0.95401,0.97433,0.79154,0.95235,0.49505,0.9456,0.004192,0.004192,0.004192
90,8527.73,0.85553,0.54463,0.97303,0.97235,0.95711,0.97479,0.79421,0.94755,0.49797,0.94342,0.004126,0.004126,0.004126
91,8614.79,0.85322,0.54608,0.97839,0.97392,0.9546,0.97459,0.79632,0.95527,0.49743,0.94316,0.00406,0.00406,0.00406
92,8700.49,0.85765,0.55008,0.97633,0.98461,0.9489,0.97478,0.79208,0.95538,0.49544,0.9449,0.003994,0.003994,0.003994
93,8786.23,0.84516,0.53845,0.97437,0.97558,0.95353,0.97488,0.79366,0.95474,0.49559,0.94103,0.003928,0.003928,0.003928
94,8874.77,0.85144,0.53628,0.96614,0.97967,0.95299,0.97485,0.79474,0.96165,0.4913,0.94575,0.003862,0.003862,0.003862
95,8961.45,0.8421,0.53853,0.97394,0.98267,0.95154,0.97605,0.79442,0.95153,0.49012,0.94082,0.003796,0.003796,0.003796
96,9050.18,0.85162,0.53894,0.96696,0.97148,0.95769,0.97403,0.79565,0.94867,0.48976,0.94008,0.00373,0.00373,0.00373
97,9141.26,0.84252,0.53536,0.96804,0.97509,0.9593,0.97356,0.79399,0.95045,0.49496,0.9405,0.003664,0.003664,0.003664
98,9226.15,0.83389,0.53237,0.96711,0.97658,0.95656,0.97442,0.79523,0.94636,0.49147,0.94067,0.003598,0.003598,0.003598
99,9320.45,0.83674,0.53361,0.9669,0.97035,0.95878,0.97541,0.7975,0.94135,0.49438,0.93684,0.003532,0.003532,0.003532
100,9409.33,0.83818,0.53087,0.96116,0.97082,0.96047,0.97386,0.79812,0.93536,0.4869,0.93777,0.003466,0.003466,0.003466
101,9495.13,0.81648,0.51497,0.95311,0.97159,0.96325,0.97491,0.80018,0.93514,0.4877,0.93702,0.0034,0.0034,0.0034
102,9582.28,0.8349,0.52324,0.96625,0.9769,0.95336,0.97457,0.79909,0.93465,0.49068,0.93495,0.003334,0.003334,0.003334
103,9672.1,0.82215,0.52032,0.95685,0.97293,0.95707,0.97409,0.79775,0.93565,0.48729,0.93422,0.003268,0.003268,0.003268
104,9757,0.82205,0.51771,0.9593,0.9739,0.95818,0.97452,0.79951,0.93644,0.48649,0.93783,0.003202,0.003202,0.003202
105,9849.22,0.81591,0.51836,0.95867,0.97743,0.95403,0.9744,0.79724,0.94415,0.48455,0.94117,0.003136,0.003136,0.003136
106,9936.51,0.81136,0.50728,0.95781,0.98194,0.954,0.97437,0.79839,0.93669,0.48691,0.93938,0.00307,0.00307,0.00307
107,10022.1,0.8181,0.50754,0.95852,0.97879,0.95596,0.97354,0.79937,0.94245,0.4857,0.94158,0.003004,0.003004,0.003004
108,10108.8,0.81051,0.50918,0.95608,0.97869,0.95559,0.97447,0.79836,0.94154,0.48264,0.9411,0.002938,0.002938,0.002938
109,10198.5,0.80933,0.50472,0.95187,0.97407,0.96001,0.97481,0.79819,0.94128,0.48307,0.93832,0.002872,0.002872,0.002872
110,10283.5,0.79851,0.50329,0.94886,0.97564,0.95927,0.97646,0.79906,0.93644,0.48044,0.93757,0.002806,0.002806,0.002806
111,10375.6,0.81025,0.50161,0.95367,0.97807,0.95829,0.97635,0.80009,0.93939,0.4762,0.93785,0.00274,0.00274,0.00274
112,10467.1,0.80836,0.50658,0.95239,0.97932,0.95907,0.97698,0.80014,0.93507,0.47376,0.937,0.002674,0.002674,0.002674
113,10552.9,0.81064,0.50235,0.95498,0.97871,0.95991,0.97656,0.80131,0.93779,0.47431,0.93657,0.002608,0.002608,0.002608
114,10643.2,0.80668,0.49522,0.95317,0.9778,0.96119,0.97632,0.80278,0.92932,0.46944,0.93697,0.002542,0.002542,0.002542
115,10733.2,0.79972,0.49541,0.94504,0.98329,0.95773,0.97588,0.80372,0.9262,0.4666,0.9358,0.002476,0.002476,0.002476
116,10818.4,0.79754,0.48814,0.94927,0.9769,0.96212,0.97587,0.80332,0.92674,0.46664,0.93615,0.00241,0.00241,0.00241
117,10909.5,0.78215,0.48746,0.94342,0.97598,0.96223,0.97614,0.80402,0.92514,0.46849,0.93366,0.002344,0.002344,0.002344
118,10999,0.78799,0.48543,0.94575,0.98163,0.95884,0.97598,0.804,0.92211,0.46733,0.9324,0.002278,0.002278,0.002278
119,11086.1,0.78047,0.48219,0.94459,0.98325,0.96126,0.9782,0.80373,0.92671,0.46375,0.93088,0.002212,0.002212,0.002212
120,11177.5,0.77408,0.48016,0.94234,0.98146,0.95967,0.97676,0.8045,0.92668,0.46071,0.93217,0.002146,0.002146,0.002146
121,11264.3,0.77471,0.47777,0.93715,0.98075,0.96228,0.97689,0.80274,0.93072,0.46379,0.93528,0.00208,0.00208,0.00208
122,11350.7,0.7782,0.48029,0.94014,0.97531,0.96475,0.97616,0.80403,0.92843,0.46422,0.9336,0.002014,0.002014,0.002014
123,11445.7,0.77748,0.47501,0.94013,0.98034,0.96091,0.97708,0.80528,0.9284,0.46361,0.9331,0.001948,0.001948,0.001948
124,11533.5,0.77055,0.47132,0.93989,0.97877,0.96251,0.97595,0.80569,0.92932,0.46308,0.93231,0.001882,0.001882,0.001882
125,11620.6,0.77044,0.46692,0.9383,0.97877,0.96467,0.97741,0.80594,0.92994,0.46267,0.93325,0.001816,0.001816,0.001816
126,11711,0.77199,0.47357,0.93852,0.97916,0.96437,0.97584,0.80409,0.9319,0.46251,0.93538,0.00175,0.00175,0.00175
127,11802.4,0.77074,0.46537,0.93419,0.98172,0.96316,0.97712,0.8045,0.93222,0.46238,0.93669,0.001684,0.001684,0.001684
128,11888.2,0.75544,0.45434,0.92921,0.9807,0.96251,0.97734,0.80451,0.93122,0.46167,0.93503,0.001618,0.001618,0.001618
129,11979.2,0.76246,0.47185,0.9367,0.98132,0.96214,0.97765,0.80601,0.93138,0.46002,0.93356,0.001552,0.001552,0.001552
130,12069.1,0.74745,0.45489,0.93007,0.97925,0.96437,0.9781,0.80579,0.93539,0.46005,0.93429,0.001486,0.001486,0.001486
131,12155.9,0.75514,0.46207,0.93143,0.98205,0.95981,0.97785,0.80599,0.9327,0.45841,0.93423,0.00142,0.00142,0.00142
132,12242.3,0.74887,0.45246,0.92904,0.98707,0.95652,0.97757,0.80481,0.93473,0.45962,0.93455,0.001354,0.001354,0.001354
133,12330.2,0.74192,0.44747,0.93119,0.98302,0.95951,0.97667,0.80485,0.93427,0.45928,0.93466,0.001288,0.001288,0.001288
134,12417.7,0.74877,0.4552,0.93275,0.98534,0.95677,0.97659,0.80498,0.93346,0.45901,0.93434,0.001222,0.001222,0.001222
135,12508.8,0.74245,0.45088,0.92922,0.98199,0.95699,0.97629,0.80527,0.93208,0.46193,0.93381,0.001156,0.001156,0.001156
136,12598.1,0.72961,0.4454,0.92753,0.98199,0.9568,0.97611,0.80569,0.92854,0.4626,0.93361,0.00109,0.00109,0.00109
137,12684.3,0.74541,0.44811,0.92984,0.98385,0.95522,0.97598,0.80555,0.92798,0.46206,0.93437,0.001024,0.001024,0.001024
138,12772.6,0.74418,0.44435,0.92682,0.98617,0.95484,0.9757,0.80561,0.92775,0.46274,0.93366,0.000958,0.000958,0.000958
139,12864.9,0.74111,0.44481,0.92848,0.98508,0.95681,0.97646,0.80635,0.92812,0.46375,0.93459,0.000892,0.000892,0.000892
140,12951,0.7301,0.43223,0.91603,0.98591,0.95703,0.97621,0.80506,0.92912,0.46384,0.9354,0.000826,0.000826,0.000826
141,13044.4,0.73428,0.43892,0.92462,0.98127,0.96182,0.97625,0.80576,0.92833,0.46258,0.93514,0.00076,0.00076,0.00076
142,13133.8,0.73546,0.44299,0.92072,0.98266,0.96203,0.976,0.80555,0.92809,0.46203,0.93558,0.000694,0.000694,0.000694
143,13222.7,0.71441,0.43194,0.91946,0.98545,0.95839,0.97588,0.8058,0.92871,0.46154,0.93498,0.000628,0.000628,0.000628
144,13311.5,0.71716,0.4326,0.91746,0.98466,0.9604,0.97606,0.80667,0.92731,0.46028,0.93454,0.000562,0.000562,0.000562
145,13403.9,0.73772,0.44224,0.9217,0.98574,0.96028,0.97615,0.80566,0.92993,0.45955,0.93554,0.000496,0.000496,0.000496
146,13489.6,0.71032,0.4286,0.91382,0.98591,0.95955,0.9761,0.806,0.93067,0.45867,0.93571,0.00043,0.00043,0.00043
147,13584.7,0.71784,0.42965,0.91712,0.98622,0.95955,0.97596,0.80678,0.9294,0.45874,0.93551,0.000364,0.000364,0.000364
148,13676.8,0.72519,0.42813,0.91547,0.98628,0.96003,0.97611,0.80677,0.9295,0.45769,0.93578,0.000298,0.000298,0.000298
149,13765.6,0.71602,0.42598,0.91891,0.98605,0.96096,0.97654,0.80647,0.92877,0.45797,0.93533,0.000232,0.000232,0.000232
150,13852.7,0.71425,0.42125,0.91398,0.98512,0.95976,0.97589,0.80676,0.92889,0.45741,0.93546,0.000166,0.000166,0.000166
