epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,14627.9,1.21473,0.74277,1.00199,0.95784,0.87715,0.92762,0.61053,1.19829,0.64732,0.96059,0.00703,0.00703,0.00703
77,14820.5,1.20377,0.73472,1.0011,0.96105,0.87715,0.9275,0.60644,1.21443,0.6538,0.96365,0.0069904,0.0069904,0.0069904
78,15012.2,1.20444,0.73458,0.99639,0.96543,0.87448,0.93003,0.61294,1.20211,0.65135,0.9568,0.0069508,0.0069508,0.0069508
79,15205.5,1.19557,0.71555,0.99996,0.96174,0.88231,0.9322,0.61016,1.20095,0.64289,0.95742,0.0069112,0.0069112,0.0069112
80,15397.8,1.19339,0.72021,0.99865,0.95304,0.88276,0.93074,0.61303,1.1944,0.64714,0.95729,0.0068716,0.0068716,0.0068716
81,15590.8,1.18652,0.7166,1.00074,0.96289,0.88115,0.93304,0.61804,1.19259,0.64388,0.95704,0.006832,0.006832,0.006832
82,15783.8,1.19683,0.71099,0.99707,0.96772,0.88083,0.93486,0.61913,1.18381,0.62942,0.95524,0.0067924,0.0067924,0.0067924
83,15976.5,1.17923,0.70801,0.99503,0.96756,0.88211,0.93489,0.61885,1.19405,0.63103,0.95689,0.0067528,0.0067528,0.0067528
84,16168.5,1.18653,0.71684,0.99888,0.9562,0.89012,0.93659,0.61499,1.19343,0.63445,0.95905,0.0067132,0.0067132,0.0067132
85,16360.4,1.17987,0.69881,0.9936,0.96053,0.88707,0.93521,0.61557,1.19728,0.63324,0.95672,0.0066736,0.0066736,0.0066736
86,16552.6,1.17423,0.71199,0.98809,0.97117,0.88693,0.93654,0.62085,1.18465,0.62489,0.95384,0.006634,0.006634,0.006634
87,16745.6,1.17134,0.69544,0.98848,0.96446,0.89049,0.93884,0.62346,1.19313,0.62207,0.95704,0.0065944,0.0065944,0.0065944
88,16939.1,1.17828,0.70497,0.99976,0.96174,0.89203,0.9398,0.62544,1.18194,0.61691,0.95201,0.0065548,0.0065548,0.0065548
89,17132.3,1.1499,0.68503,0.98391,0.96532,0.89215,0.93784,0.62212,1.18793,0.62248,0.95448,0.0065152,0.0065152,0.0065152
90,17325,1.17042,0.70313,0.98864,0.96857,0.8905,0.93835,0.62406,1.16799,0.62127,0.94993,0.0064756,0.0064756,0.0064756
91,17517.7,1.15568,0.69027,0.98221,0.96769,0.89142,0.93857,0.62413,1.17494,0.62258,0.95077,0.006436,0.006436,0.006436
92,17709.9,1.14813,0.68421,0.98659,0.97629,0.8844,0.93828,0.62286,1.18849,0.61942,0.95236,0.0063964,0.0063964,0.0063964
93,17901.8,1.16699,0.68759,0.98722,0.97532,0.88977,0.93992,0.62721,1.17958,0.61,0.95207,0.0063568,0.0063568,0.0063568
94,18094.7,1.13495,0.68022,0.97683,0.96947,0.88429,0.93781,0.62475,1.17998,0.61766,0.95386,0.0063172,0.0063172,0.0063172
95,18286.4,1.15161,0.67603,0.978,0.96364,0.88974,0.93765,0.62279,1.18259,0.61717,0.95489,0.0062776,0.0062776,0.0062776
96,18478.8,1.13787,0.67406,0.97743,0.96954,0.88821,0.93823,0.62165,1.18462,0.61161,0.95221,0.006238,0.006238,0.006238
97,18670.9,1.14787,0.66534,0.97613,0.96456,0.89393,0.93992,0.62568,1.17902,0.61374,0.95083,0.0061984,0.0061984,0.0061984
98,18863.1,1.12554,0.66591,0.96905,0.97352,0.89088,0.94029,0.62819,1.18038,0.60666,0.95254,0.0061588,0.0061588,0.0061588
99,19055.9,1.14881,0.6744,0.97888,0.9718,0.89164,0.94249,0.63299,1.16572,0.60925,0.94812,0.0061192,0.0061192,0.0061192
100,19248.6,1.13994,0.67753,0.97255,0.9734,0.89126,0.94032,0.62868,1.17208,0.60121,0.94843,0.0060796,0.0060796,0.0060796
101,19441.3,1.14646,0.66448,0.97878,0.96349,0.89617,0.94331,0.6307,1.16666,0.59587,0.94839,0.00604,0.00604,0.00604
102,19633.8,1.12058,0.6535,0.96811,0.97377,0.89236,0.94257,0.63223,1.16329,0.60159,0.94847,0.0060004,0.0060004,0.0060004
103,19825.8,1.13439,0.66789,0.97595,0.96195,0.89705,0.94387,0.63409,1.15913,0.59998,0.9485,0.0059608,0.0059608,0.0059608
104,20018.7,1.1106,0.64832,0.95962,0.96585,0.8957,0.94214,0.63364,1.16166,0.5987,0.9492,0.0059212,0.0059212,0.0059212
105,20211.2,1.12646,0.64831,0.96883,0.96938,0.8937,0.94405,0.63157,1.16431,0.59413,0.94875,0.0058816,0.0058816,0.0058816
