epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,16129.9,0.84531,0.5496,1.00243,0.97845,0.95335,0.97473,0.7988,0.92856,0.48482,0.95561,0.004918,0.004918,0.004918
79,16315.3,0.82551,0.53646,0.99679,0.97429,0.96098,0.97429,0.80064,0.92715,0.47794,0.95777,0.004852,0.004852,0.004852
80,16544.3,0.84077,0.53204,0.99915,0.98063,0.95447,0.97493,0.80002,0.92267,0.4726,0.95725,0.004786,0.004786,0.004786
81,16745,0.8312,0.5375,0.99544,0.98903,0.95039,0.97592,0.79944,0.91921,0.47174,0.95509,0.00472,0.00472,0.00472
82,16945.4,0.81656,0.52495,0.98514,0.97868,0.95991,0.97594,0.7982,0.92838,0.47224,0.95967,0.004654,0.004654,0.004654
83,17162.6,0.81701,0.5279,0.98726,0.98189,0.95471,0.97305,0.79852,0.94463,0.48576,0.95854,0.004588,0.004588,0.004588
84,17361.2,0.82001,0.52664,0.98251,0.98525,0.95828,0.97603,0.80285,0.92897,0.47573,0.95854,0.004522,0.004522,0.004522
85,17553.9,0.82301,0.53227,0.99148,0.98229,0.95558,0.97443,0.79975,0.93144,0.48298,0.95602,0.004456,0.004456,0.004456
86,17750.8,0.83125,0.53519,0.99402,0.9829,0.95725,0.97567,0.80313,0.92463,0.48062,0.95098,0.00439,0.00439,0.00439
87,17963.6,0.82971,0.53148,0.98654,0.98262,0.95954,0.97716,0.80643,0.92706,0.47435,0.95475,0.004324,0.004324,0.004324
88,18160.4,0.82115,0.52577,0.98477,0.97865,0.96162,0.97502,0.80757,0.92251,0.47466,0.95252,0.004258,0.004258,0.004258
89,18364.7,0.81534,0.51444,0.98102,0.98779,0.9588,0.97743,0.80731,0.91888,0.46836,0.95064,0.004192,0.004192,0.004192
90,18576.5,0.82337,0.52777,0.98018,0.97685,0.96362,0.97679,0.80778,0.91238,0.46705,0.95131,0.004126,0.004126,0.004126
91,18784.9,0.81949,0.52256,0.98433,0.9897,0.95596,0.97513,0.80566,0.92429,0.4667,0.95299,0.00406,0.00406,0.00406
92,18982.6,0.81427,0.50866,0.97235,0.98375,0.95857,0.97324,0.80577,0.91534,0.46975,0.95057,0.003994,0.003994,0.003994
93,19176.9,0.80968,0.51198,0.9792,0.98593,0.95794,0.97561,0.8067,0.92267,0.4652,0.95054,0.003928,0.003928,0.003928
94,19385.5,0.8072,0.51171,0.9718,0.98166,0.95758,0.97604,0.8101,0.9129,0.46218,0.94717,0.003862,0.003862,0.003862
95,19580.2,0.80718,0.50902,0.97505,0.98481,0.95886,0.97462,0.80559,0.91802,0.46515,0.95198,0.003796,0.003796,0.003796
96,19778.5,0.79767,0.51008,0.97202,0.9875,0.96102,0.97567,0.80654,0.91877,0.4601,0.95131,0.00373,0.00373,0.00373
97,19964.9,0.79561,0.50537,0.97107,0.98925,0.95871,0.97557,0.80785,0.92344,0.46594,0.95259,0.003664,0.003664,0.003664
98,20153.2,0.79349,0.50013,0.96902,0.98571,0.9624,0.97609,0.81015,0.91924,0.46309,0.94917,0.003598,0.003598,0.003598
99,20366,0.78215,0.50152,0.96765,0.98761,0.96033,0.97742,0.80831,0.92399,0.46319,0.95321,0.003532,0.003532,0.003532
100,20581.7,0.78712,0.49912,0.96555,0.99008,0.95509,0.97618,0.81011,0.91362,0.45987,0.95087,0.003466,0.003466,0.003466
101,20792.7,0.78186,0.48925,0.96247,0.98394,0.95991,0.97629,0.80684,0.91598,0.45776,0.95199,0.0034,0.0034,0.0034
